time_iso8601,stars_cumulative
2020-06-23 00:00:00+00:00,2
2020-06-24 00:00:00+00:00,3
2020-06-26 00:00:00+00:00,5
2020-06-27 00:00:00+00:00,6
2020-07-02 00:00:00+00:00,7
2020-07-04 00:00:00+00:00,8
2020-07-11 00:00:00+00:00,9
2020-07-15 00:00:00+00:00,10
2020-07-17 00:00:00+00:00,11
2020-07-27 00:00:00+00:00,27
2020-07-28 00:00:00+00:00,39
2020-07-29 00:00:00+00:00,40
2020-07-30 00:00:00+00:00,43
2020-08-01 00:00:00+00:00,44
2020-08-03 00:00:00+00:00,45
2020-08-05 00:00:00+00:00,47
2020-08-06 00:00:00+00:00,48
2020-08-08 00:00:00+00:00,49
2020-08-09 00:00:00+00:00,50
2020-08-10 00:00:00+00:00,51
2020-08-12 00:00:00+00:00,52
2020-08-18 00:00:00+00:00,54
2020-08-19 00:00:00+00:00,55
2020-08-22 00:00:00+00:00,56
2020-08-23 00:00:00+00:00,57
2020-08-25 00:00:00+00:00,58
2020-08-26 00:00:00+00:00,59
2020-08-29 00:00:00+00:00,60
2020-09-01 00:00:00+00:00,62
2020-09-02 00:00:00+00:00,63
2020-09-04 00:00:00+00:00,64
2020-09-05 00:00:00+00:00,65
2020-09-06 00:00:00+00:00,66
2020-09-09 00:00:00+00:00,67
2020-09-11 00:00:00+00:00,68
2020-09-13 00:00:00+00:00,69
2020-09-16 00:00:00+00:00,71
2020-09-17 00:00:00+00:00,72
2020-09-18 00:00:00+00:00,73
2020-09-22 00:00:00+00:00,76
2020-09-23 00:00:00+00:00,77
2020-09-26 00:00:00+00:00,78
2020-09-27 00:00:00+00:00,79
2020-10-01 00:00:00+00:00,80
2020-10-02 00:00:00+00:00,81
2020-10-04 00:00:00+00:00,82
2020-10-05 00:00:00+00:00,83
2020-10-06 00:00:00+00:00,84
2020-10-09 00:00:00+00:00,87
2020-10-10 00:00:00+00:00,88
2020-10-11 00:00:00+00:00,90
2020-10-12 00:00:00+00:00,93
2020-10-15 00:00:00+00:00,94
2020-10-21 00:00:00+00:00,96
2020-10-22 00:00:00+00:00,98
2020-10-23 00:00:00+00:00,101
2020-10-25 00:00:00+00:00,102
2020-10-28 00:00:00+00:00,103
2020-10-29 00:00:00+00:00,104
2020-10-31 00:00:00+00:00,105
2020-11-03 00:00:00+00:00,106
2020-11-13 00:00:00+00:00,107
2020-11-18 00:00:00+00:00,109
2020-11-22 00:00:00+00:00,110
2020-11-25 00:00:00+00:00,112
2020-12-04 00:00:00+00:00,113
2020-12-08 00:00:00+00:00,114
2020-12-15 00:00:00+00:00,115
2020-12-19 00:00:00+00:00,116
2020-12-21 00:00:00+00:00,117
2020-12-28 00:00:00+00:00,118
2020-12-31 00:00:00+00:00,119
2021-01-03 00:00:00+00:00,120
2021-01-06 00:00:00+00:00,121
2021-01-09 00:00:00+00:00,123
2021-01-11 00:00:00+00:00,124
2021-01-14 00:00:00+00:00,125
2021-01-24 00:00:00+00:00,126
2021-01-26 00:00:00+00:00,128
2021-01-31 00:00:00+00:00,129
2021-02-03 00:00:00+00:00,130
2021-02-05 00:00:00+00:00,131
2021-02-06 00:00:00+00:00,140
2021-02-08 00:00:00+00:00,143
2021-02-09 00:00:00+00:00,145
2021-02-10 00:00:00+00:00,146
2021-02-11 00:00:00+00:00,147
2021-02-13 00:00:00+00:00,148
2021-02-14 00:00:00+00:00,149
2021-02-16 00:00:00+00:00,151
